Time,Roll (sim),Roll (real),,,
0,-0.009726358233,1.19,,Rise Time (s),
0.023,-0.4052294316,1.06,,Real,0.795
0.104,-0.9785848812,0.94,,Sim,0.834
0.206,0.204059791,0.75,,,
0.291,-0.7721029903,0.5,,Settling Time (s),
0.389,-0.6664848561,0.13,,Real,2.063
0.494,0.4172712884,-0.13,,Sim,1.75
0.556,-0.7280510278,-0.44,,,
0.634,-0.03918104567,-0.81,,Overshoot,
0.711,0.8144030005,-0.12,,Real,2.62 derajat (10.48%)
0.8,-0.8096109539,-0.5,,Sim,2.92 derajat (11.68%)
0.905,-0.03328908808,-0.06,,,
0.974,0.5423546847,-0.15,,,
1.055,-1.24094558,0,,,
1.119,-0.9607136747,-0.21,,,
1.202,0.2042822896,0.56,,,
1.301,-0.8988869087,0.5,,,
1.374,0.09166535029,-0.24,,,
1.461,0.1635612254,-0.25,,,
1.536,-0.4365311871,-1.94,,,
1.624,0.8000007631,-1.75,,,
1.723,-0.5098083134,-1.37,,,
1.793,0.1327281072,-1,,,
1.873,0.6790468376,-0.87,,,
1.937,-0.2512125522,-1,,,
2.044,0.8640082902,-1.31,,,
2.127,-0.2731015261,-2,,,
2.184,-1.024845608,-2.62,,,
2.274,0.7902575443,-2.94,,,
2.364,0.7574844417,-3.25,,,
2.489,0.009799974992,-3.12,,,
2.581,1.246597796,-2.94,,,
2.657,0.159523981,-2.81,,,
2.73,0.7744737118,-2.87,,,
2.815,1.411084342,-3,,,
2.892,-0.007734006056,-3.25,,,
2.989,1.193797045,-4.12,,,
3.056,1.679351084,-5.12,,,
3.146,-0.1411254007,-5.87,,,
3.231,0.5351511663,-6.62,,,
3.331,0.4956011221,-7,,,
3.425,-1.334419228,-7.38,,,
3.476,-0.2515433018,-7.94,,,
3.55,0.009706584546,-8.56,,,
3.621,-2.359372556,-9,,,
3.712,-7.634802666,-10.63,,,
3.803,-11.46801007,-11.19,,,
3.87,-11.94778027,-11.81,,,
3.947,-14.68120367,-12.75,,,
4.024,-16.62527358,-13.88,,,
4.102,-16.63041317,-14.88,,,
4.198,-19.15391267,-15.88,,,
4.26,-20.5723148,-17.06,,,
4.357,-20.26536657,-17.94,,,
